Temperature,Pressure,Humidity,Precipitation,Windspeed,Altitude,Latitude,Longitude
34.4,1017,24.5,0.05,42,21,56.5,53.2
34.8,1017,24.6,0.08,43,21,56.5,53.2
35.2,1017.5,24.8,0.09,43.5,21,56.5,53.2
35.6,1017.6,24.7,0.06,44,21,56.5,53.2
36,1017.8,24.5,0.07,46,21,56.5,53.2
36.6,1017.9,24.8,0.1,46.5,21,56.5,53.2
37,1018,25,0.12,47,21,56.5,53.2
38,1018.2,25.2,0.14,48,21,56.5,53.2
38.4,1018.3,25.6,0.16,49,21,56.5,53.2
39,1018.5,25.8,0.19,50,21,56.5,53.2
39.5,1018.6,25.9,0.2,51.5,21,56.5,53.2
40,1019,26,0.23,52,21,56.5,53.2
39.8,1018.4,26.5,0.24,53,21,56.5,53.2
39.6,1018.3,27,0.24,54,21,56.5,53.2
39.7,1018.7,27.8,0.26,56,21,56.5,53.2
39.2,1019,26.5,0.27,57,21,56.5,53.2
38.5,1019.2,25.8,0.28,57.5,21,56.5,53.2
38.6,1019.5,24.5,0.29,58,21,56.5,53.2
38.1,1019.5,24.9,0.3,59,21,56.5,53.2
37.9,1019.3,24.5,0.32,58.5,21,56.5,53.2
37.4,1019.8,23.7,0.36,58,21,56.5,53.2
37.1,1020,23.1,0.3,57,21,56.5,53.2
36.8,1020.5,22.7,0.29,56,21,56.5,53.2
36.2,1020.8,22.5,0.28,55,21,56.5,53.2
35.6,1021,22,0.26,54,21,56.5,53.2
35.2,1020.6,21.7,0.23,54.5,21,56.5,53.2
34.8,1020.4,21.4,0.21,55,21,56.5,53.2
34.4,1020,21,0.2,56,21,56.5,53.2
34,1019.6,20.8,0.19,56.5,21,56.5,53.2
38.1,1019.5,24.9,0.3,59,21,56.5,53.2
37.9,1019.3,24.5,0.32,58.5,21,56.5,53.2
37.4,1019.8,23.7,0.36,58,21,56.5,53.2
37.1,1020,23.1,0.3,57,21,56.5,53.2
36.8,1020.5,22.7,0.29,56,21,56.5,53.2
36.2,1020.8,22.5,0.28,55,21,56.5,53.2
35.6,1021,22,0.26,54,21,56.5,53.2
35.2,1020.6,21.7,0.23,54.5,21,56.5,53.2
34.8,1020.4,21.4,0.21,55,21,56.5,53.2
34.4,1020,21,0.2,56,21,56.5,53.2
34,1019.6,20.8,0.19,56.5,21,56.5,53.2
38.1,1019.5,24.9,0.3,59,21,56.5,53.2
37.9,1019.3,24.5,0.32,58.5,21,56.5,53.2
37.4,1019.8,23.7,0.36,58,21,56.5,53.2
37.1,1020,23.1,0.3,57,21,56.5,53.2
36.8,1020.5,22.7,0.29,56,21,56.5,53.2
36.2,1020.8,22.5,0.28,55,21,56.5,53.2
35.6,1021,22,0.26,54,21,56.5,53.2
35.2,1020.6,21.7,0.23,54.5,21,56.5,53.2
34.8,1020.4,21.4,0.21,55,21,56.5,53.2
34.4,1020,21,0.2,56,21,56.5,53.2
34,1019.6,20.8,0.19,56.5,21,56.5,53.2
38.1,1019.5,24.9,0.3,59,21,56.5,53.2
37.9,1019.3,24.5,0.32,58.5,21,56.5,53.2
37.4,1019.8,23.7,0.36,58,21,56.5,53.2
37.1,1020,23.1,0.3,57,21,56.5,53.2
36.8,1020.5,22.7,0.29,56,21,56.5,53.2
36.2,1020.8,22.5,0.28,55,21,56.5,53.2
35.6,1021,22,0.26,54,21,56.5,53.2
35.2,1020.6,21.7,0.23,54.5,21,56.5,53.2
34.8,1020.4,21.4,0.21,55,21,56.5,53.2
34.4,1020,21,0.2,56,21,56.5,53.2
34,1019.6,20.8,0.19,56.5,21,56.5,53.2
38.1,1019.5,24.9,0.3,59,21,56.5,53.2
37.9,1019.3,24.5,0.32,58.5,21,56.5,53.2
37.4,1019.8,23.7,0.36,58,21,56.5,53.2
37.1,1020,23.1,0.3,57,21,56.5,53.2
36.8,1020.5,22.7,0.29,56,21,56.5,53.2
36.2,1020.8,22.5,0.28,55,21,56.5,53.2
35.6,1021,22,0.26,54,21,56.5,53.2
35.2,1020.6,21.7,0.23,54.5,21,56.5,53.2
34.8,1020.4,21.4,0.21,55,21,56.5,53.2
34.4,1020,21,0.2,56,21,56.5,53.2
34,1019.6,20.8,0.19,56.5,21,56.5,53.2
38.1,1019.5,24.9,0.3,59,21,56.5,53.2
37.9,1019.3,24.5,0.32,58.5,21,56.5,53.2
37.4,1019.8,23.7,0.36,58,21,56.5,53.2
37.1,1020,23.1,0.3,57,21,56.5,53.2
36.8,1020.5,22.7,0.29,56,21,56.5,53.2
36.2,1020.8,22.5,0.28,55,21,56.5,53.2
35.6,1021,22,0.26,54,21,56.5,53.2
35.2,1020.6,21.7,0.23,54.5,21,56.5,53.2
34.8,1020.4,21.4,0.21,55,21,56.5,53.2
34.4,1020,21,0.2,56,21,56.5,53.2
34,1019.6,20.8,0.19,56.5,21,56.5,53.2
38.1,1019.5,24.9,0.3,59,21,56.5,53.2
37.9,1019.3,24.5,0.32,58.5,21,56.5,53.2
37.4,1019.8,23.7,0.36,58,21,56.5,53.2
37.1,1020,23.1,0.3,57,21,56.5,53.2
36.8,1020.5,22.7,0.29,56,21,56.5,53.2
36.2,1020.8,22.5,0.28,55,21,56.5,53.2
35.6,1021,22,0.26,54,21,56.5,53.2
35.2,1020.6,21.7,0.23,54.5,21,56.5,53.2
34.8,1020.4,21.4,0.21,55,21,56.5,53.2
34.4,1020,21,0.2,56,21,56.5,53.2
34,1019.6,20.8,0.19,56.5,21,56.5,53.2
35.2,1020.6,21.7,0.23,54.5,21,56.5,53.2
34.8,1020.4,21.4,0.21,55,21,56.5,53.2
34.4,1020,21,0.2,56,21,56.5,53.2
34,1019.6,20.8,0.19,56.5,21,56.5,53.2
38.1,1019.5,24.9,0.3,59,21,56.5,53.2
37.9,1019.3,24.5,0.32,58.5,21,56.5,53.2
37.4,1019.8,23.7,0.36,58,21,56.5,53.2
37.1,1020,23.1,0.3,57,21,56.5,53.2
36.8,1020.5,22.7,0.29,56,21,56.5,53.2
36.2,1020.8,22.5,0.28,55,21,56.5,53.2
35.6,1021,22,0.26,54,21,56.5,53.2
35.2,1020.6,21.7,0.23,54.5,21,56.5,53.2
34.8,1020.4,21.4,0.21,55,21,56.5,53.2
34.4,1020,21,0.2,56,21,56.5,53.2
34,1019.6,20.8,0.19,56.5,21,56.5,53.2
34.8,1020.4,21.4,0.21,55,21,56.5,53.2
34.4,1020,21,0.2,56,21,56.5,53.2
34,1019.6,20.8,0.19,56.5,21,56.5,53.2
38.1,1019.5,24.9,0.3,59,21,56.5,53.2
37.9,1019.3,24.5,0.32,58.5,21,56.5,53.2
37.4,1019.8,23.7,0.36,58,21,56.5,53.2
37.1,1020,23.1,0.3,57,21,56.5,53.2
36.8,1020.5,22.7,0.29,56,21,56.5,53.2
36.2,1020.8,22.5,0.28,55,21,56.5,53.2
35.6,1021,22,0.26,54,21,56.5,53.2
35.2,1020.6,21.7,0.23,54.5,21,56.5,53.2
34.8,1020.4,21.4,0.21,55,21,56.5,53.2
34.4,1020,21,0.2,56,21,56.5,53.2
34,1019.6,20.8,0.19,56.5,21,56.5,53.2
35.6,1021,22,0.26,54,21,56.5,53.2
35.2,1020.6,21.7,0.23,54.5,21,56.5,53.2
34.8,1020.4,21.4,0.21,55,21,56.5,53.2
34.4,1020,21,0.2,56,21,56.5,53.2
34,1019.6,20.8,0.19,56.5,21,56.5,53.2
38.1,1019.5,24.9,0.3,59,21,56.5,53.2
37.9,1019.3,24.5,0.32,58.5,21,56.5,53.2
37.4,1019.8,23.7,0.36,58,21,56.5,53.2
37.1,1020,23.1,0.3,57,21,56.5,53.2
35.6,1021,22,0.26,54,21,56.5,53.2
35.2,1020.6,21.7,0.23,54.5,21,56.5,53.2
34.8,1020.4,21.4,0.21,55,21,56.5,53.2
34.4,1020,21,0.2,56,21,56.5,53.2
34,1019.6,20.8,0.19,56.5,21,56.5,53.2
38.1,1019.5,24.9,0.3,59,21,56.5,53.2
37.9,1019.3,24.5,0.32,58.5,21,56.5,53.2
37.4,1019.8,23.7,0.36,58,21,56.5,53.2
38,1018.2,25.2,0.14,48,21,56.5,53.2
38.4,1018.3,25.6,0.16,49,21,56.5,53.2
39,1018.5,25.8,0.19,50,21,56.5,53.2
39.5,1018.6,25.9,0.2,51.5,21,56.5,53.2
40,1019,26,0.23,52,21,56.5,53.2
39.8,1018.4,26.5,0.24,53,21,56.5,53.2
39.6,1018.3,27,0.24,54,21,56.5,53.2
